parent,child
,root
root,projects
projects,hcil
hcil,people
people,ara
ara,index.html
people,catherine.html
hcil,research
research,1997
1997,patientrecord.html
research,projects.html
research,video96.html
hcil,VisuMillion
VisuMillion,index1.html
hcil,academics
academics,applying.shtml
academics,courses.shtml
academics,index2.html
academics,vrtp.shtml
hcil,agile2d
agile2d,index.shtml
hcil,anthro
anthro,ASSETS00-submitted.htm
anthro,Image100.gif
anthro,Image101.gif
anthro,Image99.gif
anthro,image001.jpg
anthro,index3.html
anthro,index1.shtml
anthro,photos
photos,index.htm
photos,index4.html
photos,index_files
index_files,filelist.xml
hcil,banner-images
banner-images,banner-btn-about-cur.gif
banner-images,banner-btn-about.gif
banner-images,banner-btn-acad-cur.gif
banner-images,banner-btn-acad.gif
banner-images,banner-btn-contact-cur.gif
banner-images,banner-btn-contact.gif
banner-images,banner-btn-home-cur.gif
banner-images,banner-btn-home.gif
banner-images,banner-btn-members-cur.gif
banner-images,banner-btn-members.gif
banner-images,banner-btn-part-cur.gif
banner-images,banner-btn-part.gif
banner-images,banner-btn-pub-cur.gif
banner-images,banner-btn-pub.gif
banner-images,banner-btn-research-cur.gif
banner-images,banner-btn-research.gif
banner-images,banner-hcil-left.gif
banner-images,banner-hcil-right.gif
banner-images,banner-logo-large.gif
banner-images,banner-logo.gif
banner-images,banner-title.gif
hcil,contact
contact,PBvisparklot.jpg
contact,avw00.jpg
contact,courtyard_marriott.shtml
contact,cyard.jpg
contact,greenbelt_marriott.shtml
contact,hotels.shtml
contact,index5.html
contact,innconfctr.shtml
contact,logo_quality.gif
contact,mailingaddress.shtml
contact,mailinglists.shtml
contact,parking.shtml
contact,quality_inn.shtml
contact,travel_directions.shtml
contact,travel_to_hcil.shtml
contact,wasgbl01.gif
contact,wasuml01.gif
hcil,counterpoint
counterpoint,counterpoint1.jpg
counterpoint,counterpoint1m.jpg
counterpoint,counterpoint1s.jpg
counterpoint,counterpoint2.jpg
counterpoint,counterpoint2s.jpg
counterpoint,counterpoint3.jpg
counterpoint,counterpoint3s.jpg
counterpoint,download
download,counterpoint-1.2.3-setup.zip
download,index6.html
download,download-tutorial
download-tutorial,cp.gif
download-tutorial,tutorial.html
counterpoint,index7.html
counterpoint,licensing.shtml
hcil,datelens
datelens,UIST2002-fishcal.mpg
datelens,computer-sweden.shtml
datelens,datelens.png
datelens,datalens-images
datalens-images,datelens-bigview.png
datalens-images,datelens-focus1.png
datalens-images,datelens-focus2.png
datalens-images,datelens-home.png
datalens-images,datelens-maximized.png
datalens-images,datelens-mondrian1.png
datalens-images,datelens-mondrian2.png
datalens-images,datelens-mondrian3.png
datalens-images,datelens-monthview.png
datalens-images,datelens-search1.png
datalens-images,datelens-search2.png
datelens,index8.html
datelens,screenshots.shtml
hcil,elastic-windows
elastic-windows,chi97.gif
elastic-windows,index9.html
elastic-windows,index2.shtml
elastic-windows,scenario.html
elastic-windows,script.html
hcil,electronic-classroom
electronic-classroom,electronic_classrooms.shtml
electronic-classroom,index10.html
hcil,eosdis
eosdis,Binary3-99icon.jpg
eosdis,banner-btn-about1.gif
eosdis,banner-btn-acad1.gif
eosdis,banner-btn-contact1.gif
eosdis,banner-btn-home1.gif
eosdis,banner-btn-members1.gif
eosdis,banner-btn-part1.gif
eosdis,banner-btn-pub1.gif
eosdis,banner-btn-research-cur1.gif
eosdis,banner-hcil-left1.gif
eosdis,banner-hcil-right1.gif
eosdis,banner-logo1.gif
eosdis,gcmd
gcmd,preview2.html
gcmd,preview3.html
eosdis,gcmd1icon.jpg
eosdis,gcmd2
gcmd2,preview31.html
eosdis,gcmd3icon.jpg
eosdis,geometryofbrowsing.html
eosdis,index11.html
eosdis,iq162icon.JPG
eosdis,javaprototype.html
eosdis,oldbinary
oldbinary,monthgeo
monthgeo,BP.html
eosdis,pyramid
pyramid,test2.html
pyramid,test3.html
eosdis,qpshot1.jpg
eosdis,qpshot2.jpg
eosdis,qpshot3.jpg
eosdis,qpshot4.jpg
