parent,child,description_parent,description_child
,root,,root
root,hcil,root,root/hcil
hcil,people,root/hcil,root/hcil/people
people,ara,root/hcil/people,root/hcil/people/ara
ara,ara-index.html,root/hcil/people/ara,root/hcil/people/ara/index.html
people,catherine.html,root/hcil/people,root/hcil/people/catherine.html
hcil,research,root/hcil,root/hcil/research
research,1997,root/hcil/research,root/hcil/research/1997
1997,patientrecord.html,root/hcil/research/1997,root/hcil/research/1997/patientrecord.html
research,projects.html,root/hcil/research,root/hcil/research/projects.html
research,video96.html,root/hcil/research,root/hcil/research/video96.html
hcil,visumillion,root/hcil,root/hcil/visumillion
visumillion,visumillion-index.html,root/hcil/visumillion,root/hcil/visumillion/index.html
hcil,academics,root/hcil,root/hcil/academics
academics,applying.shtml,root/hcil/academics,root/hcil/academics/applying.shtml
academics,courses.shtml,root/hcil/academics,root/hcil/academics/courses.shtml
academics,academics-index.html,root/hcil/academics,root/hcil/academics/index.html
academics,vrtp.shtml,root/hcil/academics,root/hcil/academics/vrtp.shtml
hcil,agile2d,root/hcil,root/hcil/agile2d
agile2d,agile2d-index.shtml,root/hcil/agile2d,root/hcil/agile2d/index.shtml
hcil,anthro,root/hcil,root/hcil/anthro
anthro,assets00-submitted.htm,root/hcil/anthro,root/hcil/anthro/assets00-submitted.htm
anthro,image100.gif,root/hcil/anthro,root/hcil/anthro/image100.gif
anthro,image101.gif,root/hcil/anthro,root/hcil/anthro/image101.gif
anthro,image99.gif,root/hcil/anthro,root/hcil/anthro/image99.gif
anthro,image001.jpg,root/hcil/anthro,root/hcil/anthro/image001.jpg
anthro,anthro-index.html,root/hcil/anthro,root/hcil/anthro/index.html
anthro,anthro-index.shtml,root/hcil/anthro,root/hcil/anthro/index.shtml
anthro,photos,root/hcil/anthro,root/hcil/anthro/photos
photos,index.htm,root/hcil/anthro/photos,root/hcil/anthro/photos/index.htm
photos,photos-index.html,root/hcil/anthro/photos,root/hcil/anthro/photos/index.html
photos,index_files,root/hcil/anthro/photos,root/hcil/anthro/photos/index_files
index_files,filelist.xml,root/hcil/anthro/photos/index_files,root/hcil/anthro/photos/index_files/filelist.xml
hcil,banner-images,root/hcil,root/hcil/banner-images
